26568,105082
31393,93365
34154,39716
34386,34097
34638,738
35347,120269
36276,4825
36539,39739
37046,75138
38980,1440
39244,9864
41175,23053
41185,48498
41579,78399
42030,54948
44975,630
46792,19169
47613,21665
48359,693
48488,27210
50315,47268
50687,31488
51164,12563
51824,33192
52385,41417
54192,25246
55239,14555
57030,20155
57483,28821
58068,3283
58486,44045
59664,33655
60073,2452
60483,192
61080,36608
61183,9171
62370,566
62713,11810
62952,25101
63144,17975
67008,2208
67224,302
67888,17905
68218,41339
68321,4538
68974,6441
69914,29245
69952,6917
71819,10770
74746,474
75391,7668
77544,7137
78479,14024
80428,3841
83387,4276
85582,26258
86814,19667
87768,18126
88413,18273
88660,16028
89745,14055
90839,18535
98527,884
99753,11590
100114,15678
102545,862
103384,5124
104974,1838
114782,1587
116287,1949
139568,509
151641,706
152532,5111
180317,2627
192368,2436
