Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2013,"74,971","Census Tract 4321.01, Los Angeles County, California",432101,Temple City,1400000US06037432101,"(34.095852, -118.0428825)",Median_Household_Income_2013_1400000US06037432101,01/01/2013
Employment & Income,Income,Median Household Income,2013,"30,759","Census Tract 2422, Los Angeles County, California",242200,Watts,1400000US06037242200,"(33.948204, -118.238625)",Median_Household_Income_2013_1400000US06037242200,01/01/2013
Employment & Income,Income,Median Household Income,2011,"57,219","Census Tract 2719.02, Los Angeles County, California",271902,Mar Vista,1400000US06037271902,"(34.009731, -118.4316705)",Median_Household_Income_2011_1400000US06037271902,01/01/2011
Employment & Income,Income,Median Household Income,2013,"81,700","Census Tract 4313, Los Angeles County, California",431300,Mayflower Village,1400000US06037431300,"(34.1248395, -118.007363)",Median_Household_Income_2013_1400000US06037431300,01/01/2013
Employment & Income,Income,Median Household Income,2011,"101,783","Census Tract 4805, Los Angeles County, California",480500,South Pasadena,1400000US06037480500,"(34.1074225, -118.14498)",Median_Household_Income_2011_1400000US06037480500,01/01/2011
Employment & Income,Income,Median Household Income,2013,"67,816","Census Tract 7009.02, Los Angeles County, California",700902,Beverly Hills,1400000US06037700902,"(34.0620455, -118.3944075)",Median_Household_Income_2013_1400000US06037700902,01/01/2013
Employment & Income,Income,Median Household Income,2010,"28,510","Census Tract 9104.03, Los Angeles County, California",910403,Palmdale,1400000US06037910403,"(34.5765425, -118.1249295)",Median_Household_Income_2010_1400000US06037910403,01/01/2010
Employment & Income,Income,Median Household Income,2013,,"Census Tract 9800.20, Los Angeles County, California",980020,Shadow Hills,1400000US06037980020,"(34.2242935, -118.305462)",Median_Household_Income_2013_1400000US06037980020,01/01/2013
Employment & Income,Income,Median Household Income,2012,"64,025","Census Tract 2699.06, Los Angeles County, California",269906,Palms,1400000US06037269906,"(34.025156, -118.403135)",Median_Household_Income_2012_1400000US06037269906,01/01/2012
Employment & Income,Income,Median Household Income,2010,,"Census Tract 9010.03, Los Angeles County, California",901003,Lancaster,1400000US06037901003,"(34.69674, -118.227897)",Median_Household_Income_2010_1400000US06037901003,01/01/2010
Employment & Income,Income,Median Household Income,2014,"53,516","Census Tract 2015.01, Los Angeles County, California",201501,El Sereno,1400000US06037201501,"(34.0872435, -118.1663745)",Median_Household_Income_2014_1400000US06037201501,01/01/2014
Employment & Income,Income,Median Household Income,2010,"120,515","Census Tract 8003.24, Los Angeles County, California",800324,Agoura Hills,1400000US06037800324,"(34.150914, -118.780558)",Median_Household_Income_2010_1400000US06037800324,01/01/2010
Employment & Income,Income,Median Household Income,2013,"77,377","Census Tract 2641.03, Los Angeles County, California",264103,Brentwood,1400000US06037264103,"(34.0553735, -118.466128)",Median_Household_Income_2013_1400000US06037264103,01/01/2013
Employment & Income,Income,Median Household Income,2011,"48,365","Census Tract 5005, Los Angeles County, California",500500,Pico Rivera,1400000US06037500500,"(34.0153955, -118.083676)",Median_Household_Income_2011_1400000US06037500500,01/01/2011
Employment & Income,Income,Median Household Income,2013,"40,401","Census Tract 5706.01, Los Angeles County, California",570601,Long Beach,1400000US06037570601,"(33.8563635, -118.1810925)",Median_Household_Income_2013_1400000US06037570601,01/01/2013
Employment & Income,Income,Median Household Income,2014,"47,633","Census Tract 5706.01, Los Angeles County, California",570601,Long Beach,1400000US06037570601,"(33.8563635, -118.1810925)",Median_Household_Income_2014_1400000US06037570601,01/01/2014
Employment & Income,Income,Median Household Income,2014,"63,500","Census Tract 4027.05, Los Angeles County, California",402705,Pomona,1400000US06037402705,"(34.0712185, -117.731491)",Median_Household_Income_2014_1400000US06037402705,01/01/2014
Employment & Income,Income,Median Household Income,2011,"213,347","Census Tract 2621, Los Angeles County, California",262100,Beverly Crest,1400000US06037262100,"(34.1022655, -118.445475)",Median_Household_Income_2011_1400000US06037262100,01/01/2011
Employment & Income,Income,Median Household Income,2010,"45,330","Census Tract 5421.05, Los Angeles County, California",542105,Compton,1400000US06037542105,"(33.894058, -118.198844)",Median_Household_Income_2010_1400000US06037542105,01/01/2010
Employment & Income,Income,Median Household Income,2013,"79,235","Census Tract 4826, Los Angeles County, California",482600,Monterey Park,1400000US06037482600,"(34.047759, -118.1144605)",Median_Household_Income_2013_1400000US06037482600,01/01/2013
Employment & Income,Income,Median Household Income,2010,"64,861","Census Tract 2723.01, Los Angeles County, California",272301,Mar Vista,1400000US06037272301,"(34.0044305, -118.4228455)",Median_Household_Income_2010_1400000US06037272301,01/01/2010
Employment & Income,Income,Median Household Income,2015,"73,417","Census Tract 2780.01, Los Angeles County, California",278001,Westchester,1400000US06037278001,"(33.955837, -118.4023185)",Median_Household_Income_2015_1400000US06037278001,01/01/2015
Employment & Income,Income,Median Household Income,2013,"47,935","Census Tract 5006, Los Angeles County, California",500600,Pico Rivera,1400000US06037500600,"(34.0076875, -118.088568)",Median_Household_Income_2013_1400000US06037500600,01/01/2013
Employment & Income,Income,Median Household Income,2010,"34,500","Census Tract 5004.02, Los Angeles County, California",500402,Pico Rivera,1400000US06037500402,"(34.0031865, -118.076325)",Median_Household_Income_2010_1400000US06037500402,01/01/2010
Employment & Income,Income,Median Household Income,2014,"37,398","Census Tract 5330.02, Los Angeles County, California",533002,Huntington Park,1400000US06037533002,"(33.9775735, -118.238836)",Median_Household_Income_2014_1400000US06037533002,01/01/2014
Employment & Income,Income,Median Household Income,2016,"28,375","Census Tract 2095.10, Los Angeles County, California",209510,Westlake,1400000US06037209510,"(34.0530605, -118.281509)",Median_Household_Income_2016_1400000US06037209510,01/01/2016
Employment & Income,Income,Median Household Income,2016,"71,806","Census Tract 6035, Los Angeles County, California",603500,Gardena,1400000US06037603500,"(33.898302, -118.3199915)",Median_Household_Income_2016_1400000US06037603500,01/01/2016
Employment & Income,Income,Median Household Income,2016,"95,080","Census Tract 7021.02, Los Angeles County, California",702102,Santa Monica,1400000US06037702102,"(34.00117824, -118.478873)",Median_Household_Income_2016_1400000US06037702102,01/01/2016
Employment & Income,Income,Median Household Income,2014,"20,972","Census Tract 5725, Los Angeles County, California",572500,Long Beach,1400000US06037572500,"(33.8168, -118.2184415)",Median_Household_Income_2014_1400000US06037572500,01/01/2014
Employment & Income,Income,Median Household Income,2013,"98,625","Census Tract 1439.02, Los Angeles County, California",143902,Sherman Oaks,1400000US06037143902,"(34.1378715, -118.418298)",Median_Household_Income_2013_1400000US06037143902,01/01/2013
Employment & Income,Income,Median Household Income,2011,"54,286","Census Tract 4326.02, Los Angeles County, California",432602,El Monte,1400000US06037432602,"(34.081728, -118.005815)",Median_Household_Income_2011_1400000US06037432602,01/01/2011
Employment & Income,Income,Median Household Income,2015,"129,436","Census Tract 6204, Los Angeles County, California",620400,Manhattan Beach,1400000US06037620400,"(33.894625, -118.3873925)",Median_Household_Income_2015_1400000US06037620400,01/01/2015
Employment & Income,Income,Median Household Income,2015,"35,682","Census Tract 2086.10, Los Angeles County, California",208610,Westlake,1400000US06037208610,"(34.071928, -118.280946)",Median_Household_Income_2015_1400000US06037208610,01/01/2015
Employment & Income,Income,Median Household Income,2012,"77,093","Census Tract 1352.01, Los Angeles County, California",135201,West Hills,1400000US06037135201,"(34.1883425, -118.627666)",Median_Household_Income_2012_1400000US06037135201,01/01/2012
Employment & Income,Income,Median Household Income,2013,"107,431","Census Tract 9108.10, Los Angeles County, California",910810,Castaic Canyons,1400000US06037910810,"(34.45705, -118.360889)",Median_Household_Income_2013_1400000US06037910810,01/01/2013
Employment & Income,Income,Median Household Income,2013,"26,051","Census Tract 2098.20, Los Angeles County, California",209820,Pico-Union,1400000US06037209820,"(34.047197, -118.278215)",Median_Household_Income_2013_1400000US06037209820,01/01/2013
Employment & Income,Income,Median Household Income,2011,"35,343","Census Tract 2327, Los Angeles County, California",232700,Vermont-Slauson,1400000US06037232700,"(33.992427, -118.285947)",Median_Household_Income_2011_1400000US06037232700,01/01/2011
Employment & Income,Income,Median Household Income,2014,"43,902","Census Tract 2015.04, Los Angeles County, California",201504,El Sereno,1400000US06037201504,"(34.0810995, -118.1730255)",Median_Household_Income_2014_1400000US06037201504,01/01/2014
Employment & Income,Income,Median Household Income,2016,"76,354","Census Tract 4635, Los Angeles County, California",463500,Pasadena,1400000US06037463500,"(34.137879, -118.1268055)",Median_Household_Income_2016_1400000US06037463500,01/01/2016
Employment & Income,Income,Median Household Income,2015,"75,254","Census Tract 2674.03, Los Angeles County, California",267403,Sawtelle,1400000US06037267403,"(34.047607, -118.4565715)",Median_Household_Income_2015_1400000US06037267403,01/01/2015
Employment & Income,Income,Median Household Income,2013,"67,197","Census Tract 7020.02, Los Angeles County, California",702002,Santa Monica,1400000US06037702002,"(34.00604515, -118.4847132)",Median_Household_Income_2013_1400000US06037702002,01/01/2013
Employment & Income,Income,Median Household Income,2016,"37,029","Census Tract 1310.10, Los Angeles County, California",131010,Reseda,1400000US06037131010,"(34.214552, -118.541108)",Median_Household_Income_2016_1400000US06037131010,01/01/2016
Employment & Income,Income,Median Household Income,2015,"79,452","Census Tract 5712, Los Angeles County, California",571200,Long Beach,1400000US06037571200,"(33.839673, -118.133678)",Median_Household_Income_2015_1400000US06037571200,01/01/2015
Employment & Income,Income,Median Household Income,2014,"61,643","Census Tract 6500.04, Los Angeles County, California",650004,Torrance,1400000US06037650004,"(33.8778065, -118.3307945)",Median_Household_Income_2014_1400000US06037650004,01/01/2014
Employment & Income,Income,Median Household Income,2013,"101,250","Census Tract 2731, Los Angeles County, California",273100,Venice,1400000US06037273100,"(34.00358, -118.460606)",Median_Household_Income_2013_1400000US06037273100,01/01/2013
Employment & Income,Income,Median Household Income,2010,"68,750","Census Tract 4050.02, Los Angeles County, California",405002,Baldwin Park,1400000US06037405002,"(34.103336, -117.9489975)",Median_Household_Income_2010_1400000US06037405002,01/01/2010
Employment & Income,Income,Median Household Income,2011,"43,380","Census Tract 1853.10, Los Angeles County, California",185310,Cypress Park,1400000US06037185310,"(34.091851, -118.222215)",Median_Household_Income_2011_1400000US06037185310,01/01/2011
Employment & Income,Income,Median Household Income,2012,"68,893","Census Tract 6005.01, Los Angeles County, California",600501,Inglewood,1400000US06037600501,"(33.9344525, -118.3220685)",Median_Household_Income_2012_1400000US06037600501,01/01/2012
Employment & Income,Income,Median Household Income,2016,"61,770","Census Tract 5771, Los Angeles County, California",577100,Long Beach,1400000US06037577100,"(33.7707995, -118.148066)",Median_Household_Income_2016_1400000US06037577100,01/01/2016
Employment & Income,Income,Median Household Income,2014,"66,667","Census Tract 2697, Los Angeles County, California",269700,Mid-City,1400000US06037269700,"(34.036058, -118.3859215)",Median_Household_Income_2014_1400000US06037269700,01/01/2014
Employment & Income,Income,Median Household Income,2015,"43,351","Census Tract 4811.01, Los Angeles County, California",481101,San Gabriel,1400000US06037481101,"(34.098345, -118.106683)",Median_Household_Income_2015_1400000US06037481101,01/01/2015
Employment & Income,Income,Median Household Income,2016,"65,598","Census Tract 2972.02, Los Angeles County, California",297202,San Pedro,1400000US06037297202,"(33.724736, -118.299008)",Median_Household_Income_2016_1400000US06037297202,01/01/2016
Employment & Income,Income,Median Household Income,2010,"58,077","Census Tract 1219, Los Angeles County, California",121900,Sun Valley,1400000US06037121900,"(34.2176405, -118.3816355)",Median_Household_Income_2010_1400000US06037121900,01/01/2010
Employment & Income,Income,Median Household Income,2011,"65,086","Census Tract 7014.02, Los Angeles County, California",701402,Santa Monica,1400000US06037701402,"(34.020408, -118.5020564)",Median_Household_Income_2011_1400000US06037701402,01/01/2011
Employment & Income,Income,Median Household Income,2016,"57,228","Census Tract 1412.01, Los Angeles County, California",141201,Sherman Oaks,1400000US06037141201,"(34.1528925, -118.442632)",Median_Household_Income_2016_1400000US06037141201,01/01/2016
Employment & Income,Income,Median Household Income,2011,"128,271","Census Tract 9203.39, Los Angeles County, California",920339,Unincorporated Santa Susana Mountains,1400000US06037920339,"(34.4151555, -118.6238155)",Median_Household_Income_2011_1400000US06037920339,01/01/2011
Employment & Income,Income,Median Household Income,2014,"42,212","Census Tract 2969.02, Los Angeles County, California",296902,San Pedro,1400000US06037296902,"(33.7351435, -118.2945475)",Median_Household_Income_2014_1400000US06037296902,01/01/2014
Employment & Income,Income,Median Household Income,2011,"101,250","Census Tract 9108.13, Los Angeles County, California",910813,Agua Dulce,1400000US06037910813,"(34.5149, -118.3077005)",Median_Household_Income_2011_1400000US06037910813,01/01/2011
Employment & Income,Income,Median Household Income,2015,"104,118","Census Tract 9201.09, Los Angeles County, California",920109,Santa Clarita,1400000US06037920109,"(34.456252, -118.550261)",Median_Household_Income_2015_1400000US06037920109,01/01/2015
Employment & Income,Income,Median Household Income,2012,"66,212","Census Tract 7020.02, Los Angeles County, California",702002,Santa Monica,1400000US06037702002,"(34.00604515, -118.4847132)",Median_Household_Income_2012_1400000US06037702002,01/01/2012
Employment & Income,Income,Median Household Income,2015,"56,893","Census Tract 2149.01, Los Angeles County, California",214901,Beverly Grove,1400000US06037214901,"(34.0742895, -118.387219)",Median_Household_Income_2015_1400000US06037214901,01/01/2015
Employment & Income,Income,Median Household Income,2013,"63,073","Census Tract 4820.02, Los Angeles County, California",482002,Monterey Park,1400000US06037482002,"(34.048942, -118.1497955)",Median_Household_Income_2013_1400000US06037482002,01/01/2013
Employment & Income,Income,Median Household Income,2016,"55,129","Census Tract 4081.39, Los Angeles County, California",408139,South San Jose Hills,1400000US06037408139,"(34.012163, -117.91348)",Median_Household_Income_2016_1400000US06037408139,01/01/2016
Employment & Income,Income,Median Household Income,2015,"37,859","Census Tract 3021.03, Los Angeles County, California",302103,Glendale,1400000US06037302103,"(34.142623, -118.2376825)",Median_Household_Income_2015_1400000US06037302103,01/01/2015
Employment & Income,Income,Median Household Income,2014,"93,148","Census Tract 4033.23, Los Angeles County, California",403323,Diamond Bar,1400000US06037403323,"(33.998459, -117.8235015)",Median_Household_Income_2014_1400000US06037403323,01/01/2014
Employment & Income,Income,Median Household Income,2016,"76,003","Census Tract 5760.01, Los Angeles County, California",576001,Long Beach,1400000US06037576001,"(33.7607185, -118.1929295)",Median_Household_Income_2016_1400000US06037576001,01/01/2016
Employment & Income,Income,Median Household Income,2016,"57,321","Census Tract 1044.01, Los Angeles County, California",104401,Pacoima,1400000US06037104401,"(34.2670615, -118.433071)",Median_Household_Income_2016_1400000US06037104401,01/01/2016
Employment & Income,Income,Median Household Income,2010,"65,141","Census Tract 9011.02, Los Angeles County, California",901102,Quartz Hill,1400000US06037901102,"(34.660235, -118.2099685)",Median_Household_Income_2010_1400000US06037901102,01/01/2010
Employment & Income,Income,Median Household Income,2015,"32,769","Census Tract 4023.04, Los Angeles County, California",402304,Pomona,1400000US06037402304,"(34.0613, -117.7678315)",Median_Household_Income_2015_1400000US06037402304,01/01/2015
Employment & Income,Income,Median Household Income,2012,"37,516","Census Tract 4825.02, Los Angeles County, California",482502,Rosemead,1400000US06037482502,"(34.058981, -118.1037825)",Median_Household_Income_2012_1400000US06037482502,01/01/2012
Employment & Income,Income,Median Household Income,2016,"36,047","Census Tract 4823.03, Los Angeles County, California",482303,Rosemead,1400000US06037482303,"(34.0692775, -118.099254)",Median_Household_Income_2016_1400000US06037482303,01/01/2016
Employment & Income,Income,Median Household Income,2015,"124,000","Census Tract 9200.43, Los Angeles County, California",920043,Santa Clarita,1400000US06037920043,"(34.39599, -118.4534165)",Median_Household_Income_2015_1400000US06037920043,01/01/2015
Employment & Income,Income,Median Household Income,2011,"63,726","Census Tract 6701, Los Angeles County, California",670100,Rolling Hills Estates,1400000US06037670100,"(33.7824185, -118.318576)",Median_Household_Income_2011_1400000US06037670100,01/01/2011
Employment & Income,Income,Median Household Income,2016,"41,484","Census Tract 4619.01, Los Angeles County, California",461901,Pasadena,1400000US06037461901,"(34.1537915, -118.149329)",Median_Household_Income_2016_1400000US06037461901,01/01/2016
Employment & Income,Income,Median Household Income,2010,"161,473","Census Tract 6703.24, Los Angeles County, California",670324,Palos Verdes Estates,1400000US06037670324,"(33.79768677, -118.379741)",Median_Household_Income_2010_1400000US06037670324,01/01/2010
Employment & Income,Income,Median Household Income,2014,"64,597","Census Tract 4016.01, Los Angeles County, California",401601,La Verne,1400000US06037401601,"(34.115101, -117.77002)",Median_Household_Income_2014_1400000US06037401601,01/01/2014
Employment & Income,Income,Median Household Income,2011,"32,930","Census Tract 5405.02, Los Angeles County, California",540502,Lynwood,1400000US06037540502,"(33.916178, -118.213576)",Median_Household_Income_2011_1400000US06037540502,01/01/2011
Employment & Income,Income,Median Household Income,2010,"138,864","Census Tract 9201.07, Los Angeles County, California",920107,Santa Clarita,1400000US06037920107,"(34.4512955, -118.580658)",Median_Household_Income_2010_1400000US06037920107,01/01/2010
Employment & Income,Income,Median Household Income,2012,"38,356","Census Tract 1852.02, Los Angeles County, California",185202,Mount Washington,1400000US06037185202,"(34.0951035, -118.218046)",Median_Household_Income_2012_1400000US06037185202,01/01/2012
Employment & Income,Income,Median Household Income,2011,"72,500","Census Tract 7005.02, Los Angeles County, California",700502,West Hollywood,1400000US06037700502,"(34.089894, -118.3803515)",Median_Household_Income_2011_1400000US06037700502,01/01/2011
Employment & Income,Income,Median Household Income,2011,"59,184","Census Tract 4057.01, Los Angeles County, California",405701,Vincent,1400000US06037405701,"(34.0930845, -117.9209895)",Median_Household_Income_2011_1400000US06037405701,01/01/2011
Employment & Income,Income,Median Household Income,2011,,"Census Tract 9903, Los Angeles County, California",990300,Long Beach,1400000US06037990300,"(33.723119408974696, -118.20340049725401)",Median_Household_Income_2011_1400000US06037990300,01/01/2011
Employment & Income,Income,Median Household Income,2011,"110,021","Census Tract 4086.25, Los Angeles County, California",408625,Hacienda Heights,1400000US06037408625,"(33.989193, -117.9634505)",Median_Household_Income_2011_1400000US06037408625,01/01/2011
Employment & Income,Income,Median Household Income,2013,"32,317","Census Tract 2398.02, Los Angeles County, California",239802,Florence,1400000US06037239802,"(33.962406, -118.2629525)",Median_Household_Income_2013_1400000US06037239802,01/01/2013
Employment & Income,Income,Median Household Income,2014,"63,333","Census Tract 9200.11, Los Angeles County, California",920011,Castaic Canyons,1400000US06037920011,"(34.537969, -118.41508)",Median_Household_Income_2014_1400000US06037920011,01/01/2014
Employment & Income,Income,Median Household Income,2015,"51,250","Census Tract 2115, Los Angeles County, California",211500,Windsor Square,1400000US06037211500,"(34.0725965, -118.316)",Median_Household_Income_2015_1400000US06037211500,01/01/2015
Employment & Income,Income,Median Household Income,2011,"80,343","Census Tract 4033.18, Los Angeles County, California",403318,Pomona,1400000US06037403318,"(34.031796, -117.7630625)",Median_Household_Income_2011_1400000US06037403318,01/01/2011
Employment & Income,Income,Median Household Income,2011,"47,857","Census Tract 2346, Los Angeles County, California",234600,Hyde Park,1400000US06037234600,"(33.9926585, -118.327201)",Median_Household_Income_2011_1400000US06037234600,01/01/2011
Employment & Income,Income,Median Household Income,2010,"66,958","Census Tract 1313, Los Angeles County, California",131300,Reseda,1400000US06037131300,"(34.2146895, -118.5229705)",Median_Household_Income_2010_1400000US06037131300,01/01/2010
Employment & Income,Income,Median Household Income,2013,"37,757","Census Tract 2131, Los Angeles County, California",213100,Arlington Heights,1400000US06037213100,"(34.0508045, -118.3133105)",Median_Household_Income_2013_1400000US06037213100,01/01/2013
Employment & Income,Income,Median Household Income,2012,"121,531","Census Tract 3009.01, Los Angeles County, California",300901,Glendale,1400000US06037300901,"(34.1693925, -118.206797)",Median_Household_Income_2012_1400000US06037300901,01/01/2012
Employment & Income,Income,Median Household Income,2012,"30,087","Census Tract 1908.02, Los Angeles County, California",190802,Hollywood,1400000US06037190802,"(34.094359, -118.3299175)",Median_Household_Income_2012_1400000US06037190802,01/01/2012
Employment & Income,Income,Median Household Income,2016,"36,724","Census Tract 2774, Los Angeles County, California",277400,Westchester,1400000US06037277400,"(33.949046, -118.3743515)",Median_Household_Income_2016_1400000US06037277400,01/01/2016
Employment & Income,Income,Median Household Income,2010,"65,820","Census Tract 4065, Los Angeles County, California",406500,West Covina,1400000US06037406500,"(34.0666225, -117.919599)",Median_Household_Income_2010_1400000US06037406500,01/01/2010
Employment & Income,Income,Median Household Income,2014,"28,967","Census Tract 9106.02, Los Angeles County, California",910602,Palmdale,1400000US06037910602,"(34.5764565, -118.080694)",Median_Household_Income_2014_1400000US06037910602,01/01/2014
Employment & Income,Income,Median Household Income,2015,"67,031","Census Tract 5531, Los Angeles County, California",553100,Bellflower,1400000US06037553100,"(33.889421, -118.1127025)",Median_Household_Income_2015_1400000US06037553100,01/01/2015
Employment & Income,Income,Median Household Income,2010,"20,978","Census Tract 2264.10, Los Angeles County, California",226410,Historic South-Central,1400000US06037226410,"(34.0242035, -118.2622875)",Median_Household_Income_2010_1400000US06037226410,01/01/2010
Employment & Income,Income,Median Household Income,2015,"51,250","Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,1400000US06037106604,"(34.3042795, -118.474247)",Median_Household_Income_2015_1400000US06037106604,01/01/2015
Employment & Income,Income,Median Household Income,2010,"42,446","Census Tract 5717.04, Los Angeles County, California",571704,Long Beach,1400000US06037571704,"(33.849558, -118.185987)",Median_Household_Income_2010_1400000US06037571704,01/01/2010
Employment & Income,Income,Median Household Income,2010,"26,550","Census Tract 5326.05, Los Angeles County, California",532605,Huntington Park,1400000US06037532605,"(33.984243, -118.225147)",Median_Household_Income_2010_1400000US06037532605,01/01/2010
Employment & Income,Income,Median Household Income,2013,"39,904","Census Tract 5309.01, Los Angeles County, California",530901,East Los Angeles,1400000US06037530901,"(34.0432735, -118.1886005)",Median_Household_Income_2013_1400000US06037530901,01/01/2013
Employment & Income,Income,Median Household Income,2016,"51,109","Census Tract 5412, Los Angeles County, California",541200,Compton,1400000US06037541200,"(33.909725, -118.2537435)",Median_Household_Income_2016_1400000US06037541200,01/01/2016
Employment & Income,Income,Median Household Income,2010,"46,108","Census Tract 1236.01, Los Angeles County, California",123601,Valley Glen,1400000US06037123601,"(34.177484, -118.417834)",Median_Household_Income_2010_1400000US06037123601,01/01/2010
Employment & Income,Income,Median Household Income,2013,"55,859","Census Tract 4076.01, Los Angeles County, California",407601,La Puente,1400000US06037407601,"(34.0383465, -117.947004)",Median_Household_Income_2013_1400000US06037407601,01/01/2013
Employment & Income,Income,Median Household Income,2013,"32,533","Census Tract 2092, Los Angeles County, California",209200,Westlake,1400000US06037209200,"(34.054276, -118.26086)",Median_Household_Income_2013_1400000US06037209200,01/01/2013
Employment & Income,Income,Median Household Income,2014,"58,188","Census Tract 1134.22, Los Angeles County, California",113422,Winnetka,1400000US06037113422,"(34.224085, -118.5821745)",Median_Household_Income_2014_1400000US06037113422,01/01/2014
Employment & Income,Income,Median Household Income,2016,"102,435","Census Tract 6023.02, Los Angeles County, California",602302,Hawthorne,1400000US06037602302,"(33.905468, -118.37252)",Median_Household_Income_2016_1400000US06037602302,01/01/2016
Employment & Income,Income,Median Household Income,2014,"30,978","Census Tract 2397.02, Los Angeles County, California",239702,Florence,1400000US06037239702,"(33.96229, -118.275105)",Median_Household_Income_2014_1400000US06037239702,01/01/2014
Employment & Income,Income,Median Household Income,2016,"41,599","Census Tract 5717.04, Los Angeles County, California",571704,Long Beach,1400000US06037571704,"(33.849558, -118.185987)",Median_Household_Income_2016_1400000US06037571704,01/01/2016
Employment & Income,Income,Median Household Income,2010,"66,056","Census Tract 5518, Los Angeles County, California",551800,Downey,1400000US06037551800,"(33.9130225, -118.126126)",Median_Household_Income_2010_1400000US06037551800,01/01/2010
Employment & Income,Income,Median Household Income,2012,"71,038","Census Tract 1810, Los Angeles County, California",181000,Eagle Rock,1400000US06037181000,"(34.1439045, -118.204552)",Median_Household_Income_2012_1400000US06037181000,01/01/2012
Employment & Income,Income,Median Household Income,2015,"94,643","Census Tract 4085.05, Los Angeles County, California",408505,Hacienda Heights,1400000US06037408505,"(34.0016935, -117.980212)",Median_Household_Income_2015_1400000US06037408505,01/01/2015
Employment & Income,Income,Median Household Income,2012,"32,981","Census Tract 2409, Los Angeles County, California",240900,Green Meadows,1400000US06037240900,"(33.9348825, -118.261859)",Median_Household_Income_2012_1400000US06037240900,01/01/2012
Employment & Income,Income,Median Household Income,2011,"53,065","Census Tract 1837.02, Los Angeles County, California",183702,Montecito Heights,1400000US06037183702,"(34.1047815, -118.184373)",Median_Household_Income_2011_1400000US06037183702,01/01/2011
Employment & Income,Income,Median Household Income,2010,"112,568","Census Tract 6204, Los Angeles County, California",620400,Manhattan Beach,1400000US06037620400,"(33.894625, -118.3873925)",Median_Household_Income_2010_1400000US06037620400,01/01/2010
Employment & Income,Income,Median Household Income,2011,"47,625","Census Tract 6020.02, Los Angeles County, California",602002,Hawthorne,1400000US06037602002,"(33.9273185, -118.3395145)",Median_Household_Income_2011_1400000US06037602002,01/01/2011
Employment & Income,Income,Median Household Income,2015,"52,188","Census Tract 1276.06, Los Angeles County, California",127606,Van Nuys,1400000US06037127606,"(34.190276, -118.4777465)",Median_Household_Income_2015_1400000US06037127606,01/01/2015
Employment & Income,Income,Median Household Income,2014,"32,934","Census Tract 2212.20, Los Angeles County, California",221220,Pico-Union,1400000US06037221220,"(34.0436145, -118.2961455)",Median_Household_Income_2014_1400000US06037221220,01/01/2014
Employment & Income,Income,Median Household Income,2010,"80,536","Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,1400000US06037106111,"(34.3231945, -118.4087995)",Median_Household_Income_2010_1400000US06037106111,01/01/2010
Employment & Income,Income,Median Household Income,2015,"22,979","Census Tract 2031, Los Angeles County, California",203100,Boyle Heights,1400000US06037203100,"(34.059408, -118.197818)",Median_Household_Income_2015_1400000US06037203100,01/01/2015
Employment & Income,Income,Median Household Income,2011,"34,630","Census Tract 6030.01, Los Angeles County, California",603001,Gardena,1400000US06037603001,"(33.9016845, -118.2960225)",Median_Household_Income_2011_1400000US06037603001,01/01/2011
Employment & Income,Income,Median Household Income,2014,,"Census Tract 3200, Los Angeles County, California",320000,Universal City,1400000US06037320000,"(34.137367, -118.352786)",Median_Household_Income_2014_1400000US06037320000,01/01/2014
Employment & Income,Income,Median Household Income,2010,"74,390","Census Tract 4085.04, Los Angeles County, California",408504,Hacienda Heights,1400000US06037408504,"(33.9992735, -117.971451)",Median_Household_Income_2010_1400000US06037408504,01/01/2010
Employment & Income,Income,Median Household Income,2012,"47,750","Census Tract 4029.03, Los Angeles County, California",402903,Pomona,1400000US06037402903,"(34.039196, -117.7326775)",Median_Household_Income_2012_1400000US06037402903,01/01/2012
Employment & Income,Income,Median Household Income,2016,"44,668","Census Tract 2911.30, Los Angeles County, California",291130,Harbor Gateway,1400000US06037291130,"(33.901689, -118.287002)",Median_Household_Income_2016_1400000US06037291130,01/01/2016
Employment & Income,Income,Median Household Income,2011,"11,148","Census Tract 2421, Los Angeles County, California",242100,Florence-Firestone,1400000US06037242100,"(33.945696, -118.2321075)",Median_Household_Income_2011_1400000US06037242100,01/01/2011
Employment & Income,Income,Median Household Income,2016,"50,889","Census Tract 9105.05, Los Angeles County, California",910505,Palmdale,1400000US06037910505,"(34.563778, -118.103584)",Median_Household_Income_2016_1400000US06037910505,01/01/2016
Employment & Income,Income,Median Household Income,2015,"38,977","Census Tract 5552.11, Los Angeles County, California",555211,Hawaiian Gardens,1400000US06037555211,"(33.8272315, -118.077266)",Median_Household_Income_2015_1400000US06037555211,01/01/2015
Employment & Income,Income,Median Household Income,2016,"38,750","Census Tract 5425.02, Los Angeles County, California",542502,Compton,1400000US06037542502,"(33.8922755, -118.22747)",Median_Household_Income_2016_1400000US06037542502,01/01/2016
Employment & Income,Income,Median Household Income,2010,"54,496","Census Tract 4086.23, Los Angeles County, California",408623,Hacienda Heights,1400000US06037408623,"(33.9957455, -117.9377215)",Median_Household_Income_2010_1400000US06037408623,01/01/2010
